TIME	IP	REQUEST	SOURCE
2015-02-27 16:05:33	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:36	117.86.206.93	/routeMatch	www.sinbad.com.cn/
2015-02-27 16:05:36	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:36	117.86.206.93	/	www.sinbad.com.cn/routeMatch
2015-02-27 16:05:39	14.150.103.6	/route/routeId526.html	www.sinbad.com.cn/
2015-02-27 16:05:39	115.28.203.70	/	-
2015-02-27 16:05:41	182.254.157.178	/route/routeId409.html	www.sinbad.com.cn/
2015-02-27 16:05:41	182.254.157.88	/	-
2015-02-27 16:05:44	110.185.143.254	/	www.sinbad.com.cn/route/routeId436.html
2015-02-27 16:05:46	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:48	218.70.96.12	/sinbadVIP	www.sinbad.com.cn/
2015-02-27 16:05:48	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:53	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:05:54	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:57	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:58	218.70.96.12	/hotelIndex	www.sinbad.com.cn/sinbadVIP
2015-02-27 16:05:58	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:00	45.56.80.254	/login	www.sinbad.com.cn/jsp/admin/login.jsp
2015-02-27 16:06:02	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:04	183.47.228.117	/route/routeId552.html	www.sinbad.com.cn/
2015-02-27 16:06:06	182.254.157.88	/route/routeId436.html	www.sinbad.com.cn/
2015-02-27 16:06:10	182.118.20.168	/destination8720/activity.html	www.sinbad.com.cn/destination8720/activity.html
2015-02-27 16:06:11	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:13	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:15	45.56.80.254	/admin/base/baseRoute/list?rel=0005-1&_=1425024375077	www.sinbad.com.cn/login
2015-02-27 16:06:16	182.254.157.88	/route/routeId444.html	www.sinbad.com.cn/route/routeId436.html
2015-02-27 16:06:19	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:06:19	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:20	45.56.80.254	/admin/base/baseRoute/edit?id=0&rel=0005-1&_=1425024380379	www.sinbad.com.cn/login
2015-02-27 16:06:21	101.226.166.254	/destination8474/activity.html	www.sinbad.com.cn/destination8474/activity.html
2015-02-27 16:06:22	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:24	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:28	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:36	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:38	203.208.60.103	/destination/1303/activity	-
2015-02-27 16:06:39	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:40	45.56.87.249	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:42	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:43	45.56.87.249	/	www.sinbad.com.cn/login
2015-02-27 16:06:43	45.56.87.249	/	www.sinbad.com.cn/login
2015-02-27 16:06:44	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:06:44	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:44	45.56.87.249	/	www.sinbad.com.cn/login
2015-02-27 16:06:47	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:49	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:53	221.224.33.66	/	www.baidu.com/s
2015-02-27 16:06:54	45.56.80.254	/	www.sinbad.com.cn/login
2015-02-27 16:06:54	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:06:55	45.56.80.254	/	www.sinbad.com.cn/login
2015-02-27 16:06:56	45.56.80.254	/	www.sinbad.com.cn/login
2015-02-27 16:07:00	45.56.80.254	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:01	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:03	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:08	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:09	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:07:09	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:12	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:16	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:20	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:24	45.56.87.249	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:26	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:07:26	221.224.33.66	/routeDetail?routeId=302	-
2015-02-27 16:07:26	221.224.33.66	/routeDetail?routeId=302	www.sinbad.com.cn/
